           
| x            | y            | z            | q             |
|0.000000              |0.000000              |0.000000              |0.000000             |
|5.000000              |0.000000              |0.000000              |0.000000             |
|10.000000              |0.000000              |0.000000              |0.000000             |
|15.000000              |0.000000              |0.000000              |0.000000             |
|20.000000              |0.000000              |0.000000              |0.000000             |
|25.000000              |0.000000              |0.000000              |0.000000             |
|30.000000              |0.000000              |0.000000              |0.000000             |
|35.000000              |0.000000              |0.000000              |0.000000             |
|40.000000              |0.000000              |0.000000              |0.000000             |
|45.000000              |0.000000              |0.000000              |0.000000             |
|50.000000              |0.000000              |0.000000              |0.000000             |
|55.000000              |0.000000              |0.000000              |0.000000             |
|60.000000              |0.000000              |0.000000              |0.000000             |
|65.000000              |0.000000              |0.000000              |0.000000             |
|70.000000              |0.000000              |0.000000              |0.000000             |
|75.000000              |0.000000              |0.000000              |0.000000             |
|80.000000              |0.000000              |0.000000              |0.000000             |
|85.000000              |0.000000              |0.000000              |0.000000             |
|90.000000              |0.000000              |0.000000              |0.000000             |
|95.000000              |0.000000              |0.000000              |0.000000             |
|100.000000              |0.000000              |0.000000              |0.000000             |
|0.000000              |5.000000              |0.000000              |0.000000             |
|5.000000              |5.000000              |0.000000              |0.093696             |
|10.000000              |5.000000              |0.000000              |-0.061029             |
|15.000000              |5.000000              |0.000000              |-0.196444             |
|20.000000              |5.000000              |0.000000              |-0.266386             |
|25.000000              |5.000000              |0.000000              |-0.221183             |
|30.000000              |5.000000              |0.000000              |-0.131043             |
|35.000000              |5.000000              |0.000000              |-0.016092             |
|40.000000              |5.000000              |0.000000              |0.109953             |
|45.000000              |5.000000              |0.000000              |0.231614             |
|50.000000              |5.000000              |0.000000              |0.332673             |
|55.000000              |5.000000              |0.000000              |0.398800             |
|60.000000              |5.000000              |0.000000              |0.453680             |
|65.000000              |5.000000              |0.000000              |0.508314             |
|70.000000              |5.000000              |0.000000              |0.578456             |
|75.000000              |5.000000              |0.000000              |0.612568             |
|80.000000              |5.000000              |0.000000              |0.592968             |
|85.000000              |5.000000              |0.000000              |0.502586             |
|90.000000              |5.000000              |0.000000              |0.365053             |
|95.000000              |5.000000              |0.000000              |0.191523             |
|100.000000              |5.000000              |0.000000              |0.000000             |
|0.000000              |10.000000              |0.000000              |0.000000             |
|5.000000              |10.000000              |0.000000              |-0.007784             |
|15.000000              |10.000000              |0.000000              |-0.548922             |
|20.000000              |10.000000              |0.000000              |-0.512577             |
|25.000000              |10.000000              |0.000000              |-0.399320             |
|30.000000              |10.000000              |0.000000              |-0.224255             |
|35.000000              |10.000000              |0.000000              |-0.002173             |
|40.000000              |10.000000              |0.000000              |0.242185             |
|45.000000              |10.000000              |0.000000              |0.479979             |
|50.000000              |10.000000              |0.000000              |0.679276             |
|55.000000              |10.000000              |0.000000              |0.807651             |
|60.000000              |10.000000              |0.000000              |0.812114             |
|65.000000              |10.000000              |0.000000              |0.969245             |
|70.000000              |10.000000              |0.000000              |1.096774             |
|75.000000              |10.000000              |0.000000              |1.260281             |
|80.000000              |10.000000              |0.000000              |1.166162             |
|85.000000              |10.000000              |0.000000              |0.997735             |
|90.000000              |10.000000              |0.000000              |0.721523             |
|95.000000              |10.000000              |0.000000              |0.377193             |
|100.000000              |10.000000              |0.000000              |0.000000             |
|0.000000              |15.000000              |0.000000              |0.000000             |
|5.000000              |15.000000              |0.000000              |-0.176002             |
|10.000000              |15.000000              |0.000000              |-0.425046             |
|15.000000              |15.000000              |0.000000              |-0.828679             |
|20.000000              |15.000000              |0.000000              |-0.656926             |
|25.000000              |15.000000              |0.000000              |-0.496321             |
|30.000000              |15.000000              |0.000000              |-0.249623             |
|35.000000              |15.000000              |0.000000              |0.063802             |
|40.000000              |15.000000              |0.000000              |0.411605             |
|45.000000              |15.000000              |0.000000              |0.754877             |
|50.000000              |15.000000              |0.000000              |1.050101             |
|55.000000              |15.000000              |0.000000              |1.244790             |
|60.000000              |15.000000              |0.000000              |1.280842             |
|65.000000              |15.000000              |0.000000              |0.588351             |
|70.000000              |15.000000              |0.000000              |2.147659             |
|75.000000              |15.000000              |0.000000              |1.734098             |
|80.000000              |15.000000              |0.000000              |1.751192             |
|85.000000              |15.000000              |0.000000              |1.478571             |
|90.000000              |15.000000              |0.000000              |1.056807             |
|95.000000              |15.000000              |0.000000              |0.549766             |
|100.000000              |15.000000              |0.000000              |0.000000             |
|0.000000              |20.000000              |0.000000              |0.000000             |
|5.000000              |20.000000              |0.000000              |-0.258635             |
|10.000000              |20.000000              |0.000000              |-0.511137             |
|15.000000              |20.000000              |0.000000              |-0.670396             |
|20.000000              |20.000000              |0.000000              |-0.674630             |
|25.000000              |20.000000              |0.000000              |-0.489906             |
|30.000000              |20.000000              |0.000000              |-0.192984             |
|35.000000              |20.000000              |0.000000              |0.189926             |
|40.000000              |20.000000              |0.000000              |0.620195             |
|45.000000              |20.000000              |0.000000              |1.053175             |
|50.000000              |20.000000              |0.000000              |1.439805             |
|55.000000              |20.000000              |0.000000              |1.728165             |
|60.000000              |20.000000              |0.000000              |1.841648             |
|65.000000              |20.000000              |0.000000              |1.892380             |
|75.000000              |20.000000              |0.000000              |2.513648             |
|80.000000              |20.000000              |0.000000              |2.364801             |
|85.000000              |20.000000              |0.000000              |1.914420             |
|90.000000              |20.000000              |0.000000              |1.353039             |
|95.000000              |20.000000              |0.000000              |0.700265             |
|100.000000              |20.000000              |0.000000              |0.000000             |
|0.000000              |25.000000              |0.000000              |0.000000             |
|5.000000              |25.000000              |0.000000              |-0.270665             |
|10.000000              |25.000000              |0.000000              |-0.491713             |
|15.000000              |25.000000              |0.000000              |-0.609104             |
|20.000000              |25.000000              |0.000000              |-0.577745             |
|25.000000              |25.000000              |0.000000              |-0.387744             |
|30.000000              |25.000000              |0.000000              |-0.059234             |
|35.000000              |25.000000              |0.000000              |0.368500             |
|40.000000              |25.000000              |0.000000              |0.855005             |
|45.000000              |25.000000              |0.000000              |1.355697             |
|50.000000              |25.000000              |0.000000              |1.822925             |
|55.000000              |25.000000              |0.000000              |2.208884             |
|60.000000              |25.000000              |0.000000              |2.494398             |
|65.000000              |25.000000              |0.000000              |2.774022             |
|70.000000              |25.000000              |0.000000              |2.333779             |
